block,border_color,figure,is_color_change,is_figure_change,trial_id
s_0,red,X,FALSE,FALSE,0
s_0,blue,Y,TRUE,TRUE,1
s_0,blue,X,TRUE,TRUE,2
s_1,red,X,FALSE,FALSE,0
s_1,red,Y,FALSE,TRUE,1
s_1,red,Y,FALSE,TRUE,2
s_1,blue,X,TRUE,TRUE,3
s_1,red,X,TRUE,TRUE,4
s_1,red,X,TRUE,TRUE,5
s_1,blue,X,TRUE,TRUE,6
s_1,blue,X,TRUE,TRUE,7
s_1,blue,X,TRUE,TRUE,8
s_1,red,Y,TRUE,TRUE,9
s_1,red,Y,TRUE,TRUE,10
s_1,red,X,TRUE,TRUE,11
s_2,red,Y,FALSE,FALSE,0
s_2,blue,X,TRUE,TRUE,1
s_2,red,Y,TRUE,TRUE,2
s_2,blue,Y,TRUE,TRUE,3
s_2,blue,X,TRUE,TRUE,4
s_2,red,Y,TRUE,TRUE,5
s_2,red,X,TRUE,TRUE,6
s_2,blue,Y,TRUE,TRUE,7
s_2,blue,Y,TRUE,TRUE,8
s_2,red,Y,TRUE,TRUE,9
s_2,blue,X,TRUE,TRUE,10
s_2,blue,Y,TRUE,TRUE,11
s_2,blue,Y,TRUE,TRUE,12
s_2,blue,Y,TRUE,TRUE,13
s_2,red,X,TRUE,TRUE,14
s_2,blue,X,TRUE,TRUE,15
s_2,blue,Y,TRUE,TRUE,16
s_2,blue,Y,TRUE,TRUE,17
s_2,red,X,TRUE,TRUE,18
s_3,red,X,FALSE,FALSE,0
s_3,blue,Y,FALSE,TRUE,1
s_3,blue,Y,FALSE,TRUE,2
s_3,red,X,TRUE,TRUE,3
